date	dLP	dY	dk	dhours	dLQ_BLS_interpolated	dLQ_Aaronson_Sullivan	dLQ	alpha	dtfp	dutil	dtfp_util	relativePrice	invShare	dtfp_I	dtfp_C	du_invest	du_consumption	dtfp_I_util	dtfp_C_util
1962_Q1	3.84	7.93	2.93	4.09	1.29		1.29	0.31	3.30	-0.09	3.39	2.36	0.17	5.25	2.89	1.39	-0.40	3.87	3.29
1962_Q2	2.42	4.54	2.84	2.12	0.96		0.96	0.31	1.53	-2.29	3.83	0.65	0.18	2.07	1.42	-1.38	-2.49	3.45	3.91
1962_Q3	5.69	3.59	3.11	-2.10	0.64		0.64	0.31	3.62	-3.23	6.85	-0.02	0.18	3.60	3.62	-3.16	-3.25	6.77	6.87
1962_Q4	3.26	0.44	2.96	-2.82	0.32		0.32	0.31	1.23	-2.72	3.95	2.56	0.18	3.33	0.77	-3.43	-2.57	6.76	3.33
1963_Q1	2.83	5.84	3.23	3.02	0.00		0.00	0.31	2.76	-1.25	4.01	0.61	0.18	3.26	2.65	-2.40	-1.00	5.67	3.65
1963_Q2	2.83	5.34	2.92	2.50	0.03		0.03	0.31	2.68	0.32	2.36	-0.55	0.18	2.24	2.78	-0.79	0.57	3.03	2.21
1963_Q3	8.38	8.23	3.10	-0.14	0.06		0.06	0.31	7.32	1.32	6.00	0.07	0.18	7.38	7.31	0.60	1.48	6.78	5.82
1963_Q4	1.05	3.18	3.23	2.13	0.08		0.08	0.31	0.65	1.47	-0.82	1.04	0.18	1.50	0.45	1.30	1.51	0.20	-1.06
1964_Q1	5.48	10.31	3.42	4.83	0.11		0.11	0.32	5.84	1.01	4.83	0.45	0.19	6.21	5.76	1.33	0.94	4.89	4.82
1964_Q2	0.99	4.54	3.50	3.55	0.05		0.05	0.32	0.97	0.48	0.48	1.57	0.19	2.25	0.67	1.08	0.35	1.16	0.33
1964_Q3	3.72	5.92	3.68	2.19	-0.02		-0.02	0.32	3.27	0.36	2.91	2.58	0.19	5.35	2.77	1.03	0.20	4.32	2.58
